Name,Cobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Catch,104.7041,112.2076,111.3035,128.2866,149.8358,137.8407,162.6785,191.1055,174.8697,205.1042,193.6927,211.9442,224.5489,243.4949,228.18,233.6636,234.335,243.5222,250.102,256.6638,265.3008,292.4982,306.8911,326.1419,348.4901,372.3603,366.9158,374.6132,383.2823,388.0752,386.9656,221.0598,351.1051,58.81046,467.757,780.5817,1172.018,425.6042,379.1633,524.9385,485.7943,812.2792,567.1677,378.9292,416.9975,736.258,1025.696,694.5527,549.7592,593.7511,639.5925,549.412,415.3012,1152.859,1196.393,1139.915,1272.444,832.8092,609.6495,1002.917,1081.082,508.2434
Abundance index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.71,0.81,0.36,0.36,0.71,1.18,0.88,0.81,0.55,1.72,1.34,1.05,1.19,1.32,0.56,0.94,0.86,0.9,1.28,1.34,0.9,1.11,1.08,1.08,0.94,1.54,1.96,0.93,0.88,0.94
Duration t,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average catch over time t,462.1364316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion over time t,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSY/M,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY/B0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 50% maturity,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lengnth at 95% maturity,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at first capture,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at full selection,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1984,0.9999,0,2.0001,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1985,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1986,0,3.0008,7.0004,1.001,5.9994,3.9996,0,0,1.001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1987,1.9998,9,0,1.9998,0,3.0006,1.9998,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1988,0,4.9997,0.9996,1.9992,4.0001,0.9996,0.9996,1.9992,0.9996,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1989,0,9.9996,19.0008,18.0024,4.9998,6.9966,4.9998,5.9982,5.9982,0,0.9984,0.9984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1990,0,0,49.0254,16.665,11.7665,3.9188,3.9188,3.9188,2.9391,5.8883,0.9797,1.9594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1991,0,0,1,6,3,2,0,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1992,0,3,4,2,3,4,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1993,0,0,5,1,0,4,0,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1994,0,0,1,6,2,1,2,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1995,0,0,0,0,2,1,0,4,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1996,0,0,3.999,1.0013,3.999,8.9993,5.9985,3.0008,3.0008,0,0,1.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1997,0,5,4,2,2,2,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1999,0,1.001,5.005,41.002,6.994,33.995,2.002,3.003,18.005,7.995,2.002,8.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2000,0,0.999,8.0031,3.996,24.9972,3.996,31.0023,2.997,0.999,12.9981,11.9991,9.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2001,0,0,27,11.0016,0,14.9976,2.0016,9,0,1.0008,4.9968,2.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2002,0,0,2.9997,8.0001,2.0007,2.0007,8.9991,0.999,0.999,0,0,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2003,0,0,0,1.0003,1.9999,1.0003,0,3.0002,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2004,0,0,0,0,3.0002,3.9998,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2005,0,4,32,18,18,22,23,0,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2006,0,6.9984,6.9984,26.001,10.0035,11.9961,8.9991,4.0014,0.9963,0.9963,0.9963,2.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2007,0.9925,4.0097,290.0085,10.0044,42.9951,10.9969,14.0141,5.9947,8.0194,3.0172,5.0022,1.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2008,0,1.9947,49.9983,199.0122,6.9978,22.0071,13.0146,13.9956,8.9925,8.9925,1.0137,1.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2009,0,4.0119,37.009,84.9963,112.9863,6.0023,37.009,6.0023,6.0023,6.9975,6.9975,2.9856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2010,0,3.993,81.015,59.994,69.993,72.996,6.006,22.011,9.999,0.99,0,3.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2011,0,3.991,55.0144,76.0132,48.9972,45.0062,45.0062,3.991,12.9861,3.991,3.0086,8.9951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL_bins,170,200,230,260,290,320,350,380,410,440,470,500,530,560,590,620,650,680,710,740,770,800,830,860,890,920,950,980,1010,1040,1070,1100,1130,1160,1190,1220,1250,1280,1310,1340,1370,1400,1430,1460,1490,,,,,,,,,,,,,,,,,
CAL 1981,0,0,0,0,0,0,0,0.999999,0,0,0.999999,0,0,0,0,0,0,0.999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1982,0,0,0,1.199997,0,0,0,1.199997,0,1.199997,0,0,0,1.199997,0,0,0,1.500003,0,0,0,0,0,0.749997,0,0,0,0,0.600003,0,0.600003,0.749997,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333332,0.666666,0,0,0,1.000002,1.999998,0,0,0,1.000002,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,2.25,0.6,0.9,2.25,0,0,0,1.5,0.9,0.9,0,0.6,1.5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1985,0,0,0,0,0,0,0,0,2.55555,0,0,0,0,0,0,0,0.77778,0,0,0,0.73017,2.92062,4.68519,1.55556,1.27779,4.0635,0,0.77778,2.84445,0,3.7725,0.51111,0.77778,0.85185,0,1.02222,0.51111,0.36507,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1986,0,0,0,0,0,0,0,0,0,0,0.902782,1.851847,0,0,3.703694,0,0,0,0,0,1.555549,1.333341,0.666655,4.291671,0.555551,0.694431,2.083324,2.777786,0.999998,0.555551,0.694431,2.777786,2.777786,0,0,0,2.777786,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1987,2.249984,0.562496,0,0,0,2.249984,0,0,0,0,0,2.812514,0,0,0,1.124992,2.249984,0,0,0,0.437512,1.124992,2.249984,3.999998,1.562504,0,3.125008,0,1.25001,3.1875,1.187484,0.562496,0.250002,0.812498,0.750006,2.249984,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1988,0,0,0,0,0,0,0,0.785726,0,0.785726,0,0,0,0,0.466668,0,0,0,0.785726,3.119037,0.785726,4.39524,3.609514,0,3.142846,2.33334,0,0,1.252394,0.785726,0,1.252394,0.785726,0,3.142846,1.571423,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1989,0,0,0,3.45456,3.45456,0,0,0,0,0,1.151505,0,0,0,1.72728,0,0,0.43182,1.007595,2.30301,0,0,8.377785,2.980305,5.18382,2.878785,1.122705,3.45456,1.123245,1.742445,0,0,0,0,0.575775,0,1.151505,0,0,1.151505,1.72728,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1990,0,0,0,0.54285,0,0,0,0,0,0,1.30284,0,2.026687,1.809547,0,0,3.799997,1.0857,0.916688,0,1.742854,3.799997,5.702839,2.393334,4.020004,3.633335,1.710001,4.116683,3.076667,2.976651,0.316686,0,0,1.26665,0,0,0,0,0.75999,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1991,0,0,0,1.951278,0,0,0,1.951278,0,0.390264,3.902598,0,0,0,0,0,1.379364,0,0,5.349246,0,3.031812,0,3.226944,5.257308,1.951278,2.159892,0.546714,2.641548,0.97566,4.55301,0,0,0.390264,0,0.390264,0,0,0,1.951278,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1992,0,0,0,0,0,0,0,0,0,0,0,0,0.427074,0,0,0.427074,0,0,0,0,0.854148,6.124998,4.041648,5.55951,4.956843,0.48807,3.050616,0.683349,6.349296,6.377754,0.915195,1.687488,2.196417,0.427074,4.297923,0.427074,1.708347,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349195,0,1.625015,1.763895,4.821425,1.625015,4.61111,1.222235,2.444435,3.52779,5.29165,3.14286,2.65475,0.349195,0,0,0.349195,0,1.222235,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1994,0,0,0,0,0,0,0,0,0,0.43056,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1.11944,2,6.09476,6.08332,0.5,1.0716,4.56388,5.01604,6.52316,0.81328,2.48764,0.38272,0.38272,0,0,1.14816,0,0,0,0.38272,0,,,,,,,,,,,,,,,,,,
CAL 1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085712,1.8,1.452384,3.23808,7.174992,1.375008,5.821824,3.591264,1.757952,1.680576,4.091664,5.000016,1.680576,0,0.305568,0.305568,1.375008,2.13888,0,4.125024,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1996,0,0,0,0,0,0,0,0,0.437745,0.437745,0,0.875435,0.218845,0.218845,0.875435,0,0,0,0.218845,0,4.81503,2.140435,7.22249,5.416895,13.310385,0,0.218845,4.40198,0,5.350455,1.137345,0,2.21408,0.53548,1.60501,0.218845,1.20373,0,0,0,0,0,1.92599,0,,,,,,,,,,,,,,,,,,
CAL 1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.800013,0,0,2.830759,4.625629,1.31794,4.307688,2.287192,0.717948,3.184627,0.717948,5.625628,3.230766,1.507676,3.230766,1.076922,0,0.538461,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.349984,3.475024,0.750008,1.124984,2.349984,2.69164,0.31332,2.238096,11.196416,1.421448,3.021424,6.496448,2.781184,1.690024,0.940016,8.773352,0.62664,0,0.62664,0,1.566656,1.566656,0,0,0,,,,,,,,,,,,,,,,,,
CAL 1999,0,0,0,0,0,0,0.89287,2.678555,0,0,8.03572,0.89287,0.89287,1.78574,0,0,0,0,0,0,0,0,0,0,0.555555,12.817475,0,1.78574,2.341295,9.5238,0.89287,0,0,0,7.14285,0,0,0,2.38095,0,2.38095,0,0,0,,,,,,,,,,,,,,,,,,
CAL 2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74999,0,0,0,0,0,1.00001,1.00001,0,1.00001,0,0,1.16666,1.00001,0,2.16667,4.49999,0,0,2.75,0,1.74999,1.00001,0,0,0,1.16666,1.74999,0,,,,,,,,,,,,,,,,,,
CAL 2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999,0,1.937505,0,1.430568,1.29167,3.229175,1.829872,4.368072,0.861101,5.812515,6.30554,1.937505,0.430569,0,0,1.29167,0,0,0.430569,0.968734,0,0,0,3.87501,,,,,,,,,,,,,,,,,,
CAL 2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999984,5.875002,1.999984,3.284715,2.687503,0.597212,1.597204,0,0,0.597212,0.597212,2.291681,8.659721,5.375006,0,0,7.166691,2.687503,0,1.791685,0,0,1.791685,,,,,,,,,,,,,,,,,,
CAL 2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85455,0.47475,2.42425,3.6081,15.71415,4.9879,2.75355,0,4.27275,4.27275,2.6111,1,4.27275,1.3293,0,0,0,0,0,0,1.42425,0,0,,,,,,,,,,,,,,,,,,
CAL 2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.208351,0,6.624996,0,1.264773,6.624996,1.927284,0.602262,8.656818,4.806411,7.729143,0,3.97917,1.333344,0,3.533316,1.264773,5.781795,0,0,0,0,0,0.662511,,,,,,,,,,,,,,,,,,
CAL 2005,0,0,0,0,0,0,7.03296,0,0,0,0.439552,0,0,0,0,0,0,0,0,0,0,3.51648,0,1.142848,2.197824,6.945024,4.102592,2.54944,7.472512,2.34432,0,1.17216,3.51648,4.923072,3.282048,1.406592,1.17216,10.783872,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66666,0.66666,11.111902,0,8.104757,1.32143,3.083323,4.140467,0,1.32143,0,2.65475,0,5.28572,0,0,0,0,0,2.64286,0,0,,,,,,,,,,,,,,,,,,
CAL 2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.599344,6.18296,6.359584,13.838048,16.487856,2.649808,11.659312,0,2.237648,2.237648,7.419552,10.599344,6.359584,2.649808,0,0,0,0,10.599344,2.119824,0,0,,,,,,,,,,,,,,,,,,
CAL 2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83332,0,7.809545,0.75004,0,0,15.39282,0,9.30954,0,15.61909,6.83332,0,0.976225,0.976225,6.83332,0,0,6.83332,0,6.83332,0,0,0,,,,,,,,,,,,,,,,,,
CAL 2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.458361,0,5.736135,9.833322,4.687484,6.555548,4.916661,3.687511,8.194435,2.458361,3.687511,3.687511,0,0,3.458334,0,0,1.638887,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CAL 2010,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8419,0,0,0,0,0,5.5257,0,0.6907,5.5257,3.0128,1.3716,9.7286,5.0724,23.6558,6.8888,7.9815,6.4612,5.0983,1.1402,1.0817,1.5729,4.8094,0,2.0465,1.8419,3.9798,0,0.6724,0,0,,,,,,,,,,,,,,,,,,
CAL 2011,0,0,0,0,0,5.803564,0,0,0,0,0,0,0,0,0,0,0,0,0,1.547624,3.385408,0.38688,1.450904,0.773812,1.43156,6.577376,6.190496,0.773812,6.848192,9.575904,1.547624,1.450904,0,0,0,1.934504,0,0.38688,0.38688,0,0,0,0.38688,1.160692,,,,,,,,,,,,,,,,,,
Current stock depletion ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current stock abundance,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy K parameter,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy Linf parameter (mm),1324.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy t0 ,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length-weight parameter a,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length-weight parameter b,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steepness,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum age,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Catch,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Depletion over time t,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Average catch over time t,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Abundance index,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV M,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV FMSY/M,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV BMSY/B0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV current stock depletion,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV current stock abundance,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. K parameter,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. Linf parameter,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. t0 parameter,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at 50% maturity,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at first capture,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at full selection,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter a,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter b,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Steepness,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma length composition,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,1000 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference OFL,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference OFL type,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPrec,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHYear,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
